season,holiday,workday,weather,temp,hum,windspeed,cnt_2d_bfr,cnt
1,0,1,1,1.229108,43.7273,16.636703,985,1349
1,0,1,1,1.4,59.0435,10.739832,801,1562
1,0,1,1,2.666979,43.6957,12.5223,1349,1600
1,0,1,1,1.604356,51.8261,6.0008684,1562,1606
1,0,1,2,1.236534,49.8696,11.304642,1600,1510
1,0,0,2,-0.245,53.5833,17.875868,1606,959
1,0,0,1,-1.498349,43.4167,24.25065,1510,822
1,0,1,1,-0.910849,48.2917,14.958889,959,1321
1,0,1,2,-0.052723,68.6364,8.182844,822,1263
1,0,1,1,0.118169,59.9545,20.410009,1321,1162
1,0,1,1,-0.245,47.0417,20.167,1263,1406
1,0,1,1,-0.43911,53.7826,8.478716,1162,1421
1,0,0,2,2.966651,49.875,10.583521,1406,1248
1,0,0,1,2.888349,48.375,12.625011,1421,1204
1,1,0,2,0.264151,53.75,12.999139,1248,1000
1,0,1,2,2.183349,86.1667,9.833925,1204,683
1,0,1,2,5.732178,74.1739,13.957239,1000,1650
1,0,1,2,4.298349,53.8333,13.125568,683,1927
1,0,1,1,0.3425,45.7083,23.667214,1650,1543
1,0,0,1,-5.2208712,40,11.52199,1927,981
1,0,0,1,-3.4634801,43.6522,16.5222,1543,986
1,0,1,1,-3.4226089,49.1739,10.60811,981,1416
1,0,1,2,2.503466,61.6957,8.696332,986,1985
1,0,1,3,2.2225,86.25,19.68795,1416,506
1,0,1,1,1.165,68.75,7.627079,1985,431
1,0,1,2,1.563466,79.3043,8.2611,506,1167
1,0,0,1,1.236534,65.1739,9.739455,431,1098
1,0,0,1,2.176534,72.2174,4.9568342,1167,1096
1,0,1,2,0.499151,60.375,12.541864,1098,1501
1,0,1,2,1.032178,82.9565,3.565271,1096,1360
1,0,1,2,4.22,77.5417,17.708636,1501,1526
1,0,1,1,0.786979,43.7826,18.609384,1360,1550
1,0,1,2,1.931288,58.5217,8.565213,1526,1708
1,0,0,2,2.966651,92.9167,10.792293,1550,1005
1,0,0,1,5.434151,56.8333,9.5006,1708,1623
1,0,1,1,4.768349,73.8333,3.0423561,1005,1712
1,0,1,1,2.379151,53.7917,24.25065,1623,1530
1,0,1,2,-1.665199,49.4783,12.652213,1712,1605
1,0,1,1,-1.215644,43.7391,14.869645,1530,1538
1,0,1,1,0.887277,50.6364,7.27285,1605,1746
1,0,0,1,2.4575,54.4167,13.625589,1538,1472
1,0,0,1,6.876534,45.7391,17.479161,1746,1589
1,0,1,1,11.505,37.5833,27.999836,1472,1913
1,0,1,1,4.506089,31.4348,19.522058,1589,1815
1,0,1,1,6.958267,42.3478,16.869997,1913,2115
1,0,1,1,12.484151,50.5,15.416968,1815,2475
1,0,1,1,16.518349,51.6667,17.749975,2115,2927
1,0,0,1,10.760849,18.7917,34.000021,2475,1635
1,0,0,1,5.405199,40.7826,14.956745,2927,1812
1,1,0,2,6.256651,60.5,20.625682,1635,1107
1,0,1,1,0.564434,57.7778,13.110761,1812,1450
1,0,1,1,2.421733,42.3043,6.305571,1107,1917
1,0,1,2,5.895644,69.7391,16.783232,1450,1807
1,0,1,2,9.124356,71.2174,23.218113,1917,1461
1,0,0,1,5.2775,53.7917,12.500257,1807,1969
1,0,0,1,8.143466,68,8.391616,1461,2402
1,0,1,2,11.141831,87.6364,19.408962,1969,1446
1,0,1,1,4.533349,53.5,14.500475,2402,1851
1,0,1,1,7.745,44.9583,20.624811,1446,2134
1,0,1,1,1.321651,31.8333,15.125518,1851,1685
1,0,1,2,4.298349,61.0417,13.624182,2134,1944
1,0,0,2,10.055849,78.9167,16.875357,1685,2077
1,0,0,2,9.696534,94.8261,23.000229,1944,605
1,0,1,1,4.301733,55.1304,22.870584,2077,1872
1,0,1,1,5.7475,42.0833,8.08355,605,2133
1,0,1,2,5.904151,77.5417,14.75005,1872,1891
1,0,1,2,6.876534,64.9565,15.60899,1891,1977
1,0,0,1,7.470849,59.4583,14.791925,623,2132
1,0,0,1,10.064356,52.7391,18.130468,1977,2417
1,0,1,1,7.285199,49.6957,9.174042,2132,2046
1,0,1,2,6.917377,65.5652,12.348703,2417,2056
1,0,1,2,9.165199,77.6522,13.608839,2046,2192
1,0,1,1,11.505,60.2917,14.041793,2056,2744
1,0,1,1,17.38,52.5217,15.478139,2192,3239
1,0,0,1,14.2075,37.9167,24.667189,2744,3117
1,0,0,1,7.6275,47.375,13.917307,3239,2471
2,0,1,2,12.230445,73.7391,19.348461,3117,2077
2,0,1,1,12.758349,62.4583,15.12525,2471,2703
2,0,1,2,8.306979,83.9565,15.695487,2077,2121
2,0,1,2,5.395,80.5833,16.333729,2703,1865
2,0,1,1,4.415849,49.5,15.458575,2121,2210
